ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
204619_s_at,1.02E-07,2.56E-08,-6.041803,8.169107,-1.6970807,VCAN,versican
222968_at,1.02E-07,2.57E-08,-6.041019,8.165609,-0.5270479,,
201407_s_at,1.03E-07,2.58E-08,-6.039989,8.161012,-0.5848928,PPP1CB,protein phosphatase 1 catalytic subunit beta
226208_at,1.03E-07,2.60E-08,6.038718,8.155339,0.485949,ZSWIM6,zinc finger SWIM-type containing 6
222219_s_at,1.03E-07,2.60E-08,-6.038289,8.153425,-0.4026542,TLE6,transducin like enhancer of split 6
228897_at,1.03E-07,2.60E-08,-6.038248,8.153241,-1.0301864,DERL3,derlin 3
211256_x_at,1.04E-07,2.61E-08,6.037804,8.151257,0.2685124,BTN2A1,butyrophilin subfamily 2 member A1
203474_at,1.04E-07,2.61E-08,6.037761,8.151068,0.9050514,IQGAP2,IQ motif containing GTPase activating protein 2
219138_at,1.04E-07,2.62E-08,-6.03667,8.146198,-0.4433343,RPL14,ribosomal protein L14
203313_s_at,1.04E-07,2.63E-08,-6.036507,8.145469,-0.6485921,TGIF1,TGFB induced factor homeobox 1
200747_s_at,1.05E-07,2.65E-08,6.034847,8.138065,0.5129945,NUMA1,nuclear mitotic apparatus protein 1
227421_at,1.05E-07,2.66E-08,-6.033946,8.134044,-0.5946551,YBEY,ybeY metallopeptidase (putative)
202208_s_at,1.05E-07,2.66E-08,-6.03394,8.134015,-0.8783093,ARL4C,ADP ribosylation factor like GTPase 4C
207871_s_at,1.05E-07,2.66E-08,6.033891,8.133798,0.8553672,MIR6132///ST7-OT3///ST7,microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7
209827_s_at,1.05E-07,2.66E-08,6.03372,8.133036,0.9023438,IL16,interleukin 16
202297_s_at,1.06E-07,2.67E-08,-6.03304,8.129999,-0.5080665,RER1,retention in endoplasmic reticulum sorting receptor 1
211100_x_at,1.06E-07,2.67E-08,6.032648,8.128252,0.5950072,LILRA2,leukocyte immunoglobulin like receptor A2
205878_at,1.06E-07,2.68E-08,6.031946,8.125119,0.5904206,POU6F1,POU class 6 homeobox 1
223258_s_at,1.06E-07,2.68E-08,-6.031688,8.123968,-0.809333,G2E3,G2/M-phase specific E3 ubiquitin protein ligase
205795_at,1.07E-07,2.69E-08,6.030995,8.120876,1.0759478,NRXN3,neurexin 3
204179_at,1.07E-07,2.69E-08,-6.030871,8.120326,-1.7380684,MB,myoglobin
208102_s_at,1.07E-07,2.70E-08,-6.030139,8.117058,-0.549931,PSD,pleckstrin and Sec7 domain containing
201771_at,1.07E-07,2.71E-08,-6.029725,8.115213,-0.5181549,SCAMP3,secretory carrier membrane protein 3
228122_at,1.08E-07,2.74E-08,6.027328,8.104525,0.6150663,CCDC66,coiled-coil domain containing 66
1554721_a_at,1.08E-07,2.74E-08,-6.027305,8.104419,-0.4668254,TAF2,TATA-box binding protein associated factor 2
225801_at,1.09E-07,2.74E-08,-6.027144,8.103701,-0.833544,FBXO32,F-box protein 32
224913_s_at,1.09E-07,2.75E-08,-6.026596,8.101258,-0.9402419,TIMM50,translocase of inner mitochondrial membrane 50
236585_at,1.10E-07,2.77E-08,-6.024734,8.092958,-0.5104078,,
207266_x_at,1.10E-07,2.77E-08,6.02444,8.091646,0.5519606,RBMS1,RNA binding motif single stranded interacting protein 1
226763_at,1.10E-07,2.78E-08,6.02423,8.090711,0.7389651,SESTD1,SEC14 and spectrin domain containing 1
208248_x_at,1.10E-07,2.78E-08,6.023924,8.089345,0.6758781,APLP2,amyloid beta precursor like protein 2
213131_at,1.10E-07,2.79E-08,6.02344,8.087189,1.4858314,OLFM1,olfactomedin 1
224880_at,1.11E-07,2.80E-08,6.022709,8.083927,0.5376202,RALA,RALA Ras like proto-oncogene A
212289_at,1.11E-07,2.80E-08,6.022708,8.083923,0.548816,ANKRD12,ankyrin repeat domain 12
220741_s_at,1.11E-07,2.80E-08,-6.022623,8.083548,-0.5847148,PPA2,pyrophosphatase (inorganic) 2
228970_at,1.11E-07,2.81E-08,-6.021652,8.079219,-0.5342764,ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand
201459_at,1.11E-07,2.81E-08,-6.021613,8.079041,-0.5348709,RUVBL2,RuvB like AAA ATPase 2
231251_at,1.11E-07,2.81E-08,6.021459,8.078356,0.6211067,WIPF2,WAS/WASL interacting protein family member 2
207098_s_at,1.12E-07,2.83E-08,-6.020339,8.073365,-0.7489917,MFN1,mitofusin 1
236725_at,1.12E-07,2.83E-08,6.019969,8.071718,0.8304685,WWC1,WW and C2 domain containing 1
203373_at,1.13E-07,2.85E-08,6.018368,8.064579,1.7738129,SOCS2,suppressor of cytokine signaling 2
228748_at,1.13E-07,2.86E-08,6.017972,8.062815,1.115545,CD59,CD59 molecule
44696_at,1.13E-07,2.87E-08,6.017299,8.059818,0.4264783,TBC1D13,TBC1 domain family member 13
203758_at,1.13E-07,2.87E-08,6.017152,8.05916,1.001741,CTSO,cathepsin O
218349_s_at,1.14E-07,2.88E-08,-6.016535,8.056414,-1.2196931,ZWILCH,zwilch kinetochore protein
210021_s_at,1.14E-07,2.88E-08,-6.01645,8.056034,-0.9673616,CCNO,cyclin O
218499_at,1.14E-07,2.88E-08,-6.016397,8.055797,-0.8972452,STK26,serine/threonine protein kinase 26
1554533_at,1.14E-07,2.88E-08,6.016371,8.055684,1.0925552,C2,complement component 2
213106_at,1.14E-07,2.88E-08,6.016368,8.05567,1.8198477,ATP8A1,ATPase phospholipid transporting 8A1
201337_s_at,1.14E-07,2.89E-08,6.015365,8.051202,0.8441926,VAMP3,vesicle associated membrane protein 3
213943_at,1.14E-07,2.89E-08,-6.015342,8.051097,-2.0446106,TWIST1,twist family bHLH transcription factor 1
202771_at,1.14E-07,2.89E-08,6.015189,8.050414,0.8929274,PIEZO1,piezo type mechanosensitive ion channel component 1
242824_at,1.14E-07,2.89E-08,6.015027,8.049693,0.7347422,,
201149_s_at,1.14E-07,2.90E-08,6.014475,8.047235,1.5282476,TIMP3,TIMP metallopeptidase inhibitor 3
237768_x_at,1.15E-07,2.90E-08,6.014281,8.046371,0.6141753,,
244515_at,1.15E-07,2.91E-08,6.013948,8.044887,0.5700362,,
210766_s_at,1.15E-07,2.91E-08,-6.01391,8.044718,-0.7482862,CSE1L,chromosome segregation 1 like
235344_at,1.15E-07,2.93E-08,6.012402,8.037999,0.6928093,PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent 1A"
221277_s_at,1.16E-07,2.93E-08,-6.012207,8.03713,-0.4926477,PUS3,pseudouridylate synthase 3
228009_x_at,1.16E-07,2.94E-08,-6.011917,8.035839,-0.5287417,ZNRD1,zinc ribbon domain containing 1
207578_s_at,1.16E-07,2.94E-08,-6.011491,8.033945,-0.2688315,HTR4,5-hydroxytryptamine receptor 4
235286_at,1.16E-07,2.95E-08,-6.010967,8.031609,-0.8851486,,
202505_at,1.16E-07,2.96E-08,-6.010351,8.028867,-0.4899832,SNRPB2,small nuclear ribonucleoprotein polypeptide B2
222236_s_at,1.17E-07,2.97E-08,6.009335,8.024342,0.4687234,ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
225148_at,1.17E-07,2.97E-08,-6.009299,8.02418,-0.3632564,RPS19BP1,ribosomal protein S19 binding protein 1
202029_x_at,1.17E-07,2.98E-08,-6.008736,8.021676,-0.3270741,RPL38,ribosomal protein L38
200773_x_at,1.18E-07,2.99E-08,-6.007863,8.017786,-0.2326386,PTMA,"prothymosin, alpha"
206669_at,1.18E-07,3.00E-08,-6.00719,8.014789,-1.0380946,GAD1,glutamate decarboxylase 1
210519_s_at,1.18E-07,3.01E-08,-6.006384,8.011201,-1.9802305,NQO1,NAD(P)H quinone dehydrogenase 1
202259_s_at,1.18E-07,3.01E-08,6.006355,8.011072,0.8689487,N4BP2L2,NEDD4 binding protein 2 like 2
229500_at,1.19E-07,3.02E-08,-6.005885,8.008982,-0.926139,SLC30A9,solute carrier family 30 member 9
218076_s_at,1.19E-07,3.02E-08,6.005504,8.007282,0.4388533,ARHGAP17,Rho GTPase activating protein 17
203264_s_at,1.19E-07,3.03E-08,6.005268,8.006232,0.5701392,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9
239098_at,1.19E-07,3.03E-08,6.005061,8.005313,0.7562875,KCNRG,potassium channel regulator
205716_at,1.19E-07,3.03E-08,-6.004665,8.003551,-0.6120687,SLC25A40,solute carrier family 25 member 40
201685_s_at,1.19E-07,3.04E-08,6.00426,8.001745,0.6105308,TOX4,TOX high mobility group box family member 4
226759_at,1.20E-07,3.05E-08,6.00325,7.997253,0.5532107,IKZF4,IKAROS family zinc finger 4
231817_at,1.20E-07,3.05E-08,6.003215,7.997094,0.9026599,USP53,ubiquitin specific peptidase 53
229195_at,1.20E-07,3.06E-08,-6.002479,7.993817,-0.3059059,MESP1,mesoderm posterior bHLH transcription factor 1
225189_s_at,1.21E-07,3.07E-08,6.001801,7.990802,1.1347536,RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
226551_at,1.21E-07,3.08E-08,6.001708,7.990389,0.4469933,RIPK1,receptor interacting serine/threonine kinase 1
1555363_s_at,1.21E-07,3.08E-08,6.001619,7.989992,0.807417,LINC00663,long intergenic non-protein coding RNA 663
215040_at,1.21E-07,3.09E-08,6.000699,7.985899,0.3724304,RNASEH2B,ribonuclease H2 subunit B
201829_at,1.22E-07,3.10E-08,-6.000304,7.984141,-1.2146166,NET1,neuroepithelial cell transforming 1
221610_s_at,1.22E-07,3.10E-08,-6.000198,7.98367,-0.8629039,STAP2,signal transducing adaptor family member 2
226633_at,1.22E-07,3.10E-08,6.000065,7.983077,0.7770411,RAB8B,"RAB8B, member RAS oncogene family"
205320_at,1.22E-07,3.10E-08,-5.99974,7.98163,-0.4208255,APC2,"APC2, WNT signaling pathway regulator"
222123_s_at,1.22E-07,3.11E-08,5.999517,7.980639,0.6012182,HIF3A,hypoxia inducible factor 3 alpha subunit
239700_at,1.22E-07,3.11E-08,-5.999403,7.980132,-1.0586927,ZNF710,zinc finger protein 710
234554_at,1.22E-07,3.12E-08,-5.998638,7.976725,-0.2554209,KCNK16,potassium two pore domain channel subfamily K member 16
223687_s_at,1.23E-07,3.13E-08,-5.99771,7.972599,-2.2928655,LY6K,"lymphocyte antigen 6 complex, locus K"
205849_s_at,1.23E-07,3.13E-08,-5.997685,7.972485,-0.4322376,UQCRB,ubiquinol-cytochrome c reductase binding protein
209489_at,1.23E-07,3.13E-08,5.997629,7.972237,0.5297492,CELF1,"CUGBP, Elav-like family member 1"
223486_at,1.23E-07,3.13E-08,-5.997566,7.971956,-0.7948736,GTPBP8,GTP binding protein 8 (putative)
215465_at,1.23E-07,3.14E-08,-5.99742,7.971306,-1.6575968,ABCA12,ATP binding cassette subfamily A member 12
235081_x_at,1.23E-07,3.15E-08,-5.996709,7.968146,-0.3361816,TRIM65,tripartite motif containing 65
209740_s_at,1.24E-07,3.15E-08,5.996223,7.965984,0.8175604,PNPLA4,patatin like phospholipase domain containing 4
238112_at,1.24E-07,3.15E-08,-5.996125,7.965547,-0.4412849,LOC283177,uncharacterized LOC283177
201635_s_at,1.24E-07,3.16E-08,-5.995957,7.9648,-0.844088,FXR1,FMR1 autosomal homolog 1
228771_at,1.24E-07,3.16E-08,5.995675,7.963544,0.9722529,GRK3,G protein-coupled receptor kinase 3
212499_s_at,1.24E-07,3.16E-08,-5.99549,7.962721,-0.4568459,MAPK1IP1L///FCF1,mitogen-activated protein kinase 1 interacting protein 1 like///FCF1 rRNA-processing protein
201340_s_at,1.24E-07,3.16E-08,-5.995387,7.962264,-1.2524801,ENC1,ectodermal-neural cortex 1
223328_at,1.24E-07,3.17E-08,-5.995218,7.961511,-0.8196957,ARMC10,armadillo repeat containing 10
212127_at,1.24E-07,3.17E-08,-5.995024,7.96065,-0.5190097,RANGAP1,Ran GTPase activating protein 1
224062_x_at,1.24E-07,3.18E-08,-5.994484,7.958246,-0.5371247,KLK4,kallikrein related peptidase 4
236241_at,1.24E-07,3.18E-08,5.994447,7.958081,0.6578995,MED31,mediator complex subunit 31
201456_s_at,1.24E-07,3.18E-08,-5.994206,7.957011,-0.5925366,BUB3,"BUB3, mitotic checkpoint protein"
226038_at,1.25E-07,3.18E-08,5.994024,7.956198,0.707145,LONRF1,LON peptidase N-terminal domain and ring finger 1
205706_s_at,1.25E-07,3.19E-08,-5.993505,7.953891,-0.6109159,ANKRD26,ankyrin repeat domain 26
205963_s_at,1.25E-07,3.19E-08,-5.993342,7.953168,-0.4576521,DNAJA3,DnaJ heat shock protein family (Hsp40) member A3
221855_at,1.25E-07,3.20E-08,-5.993135,7.952246,-0.4948413,SDHAF1,succinate dehydrogenase complex assembly factor 1
241354_at,1.26E-07,3.22E-08,-5.991667,7.945716,-0.2801072,ASMTL-AS1,ASMTL antisense RNA 1
203039_s_at,1.27E-07,3.24E-08,-5.990357,7.939891,-0.6458626,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1
205937_at,1.27E-07,3.24E-08,-5.990066,7.938598,-0.9801125,CGREF1,cell growth regulator with EF-hand domain 1
211776_s_at,1.27E-07,3.25E-08,5.989692,7.936937,1.111578,EPB41L3,erythrocyte membrane protein band 4.1 like 3
204182_s_at,1.27E-07,3.26E-08,5.988652,7.932312,0.6433276,ZBTB43,zinc finger and BTB domain containing 43
200971_s_at,1.28E-07,3.26E-08,-5.988583,7.932003,-0.3298419,SERP1,stress-associated endoplasmic reticulum protein 1
212969_x_at,1.28E-07,3.27E-08,5.988489,7.931589,0.5278936,EML3,echinoderm microtubule associated protein like 3
203165_s_at,1.28E-07,3.28E-08,-5.987244,7.926053,-0.64257,SLC33A1,solute carrier family 33 member 1
209008_x_at,1.29E-07,3.30E-08,-5.986157,7.921221,-1.0773845,KRT8,keratin 8
201942_s_at,1.29E-07,3.31E-08,-5.985468,7.918157,-1.3180725,CPD,carboxypeptidase D
211595_s_at,1.29E-07,3.31E-08,-5.98534,7.917592,-0.4709611,MRPS11,mitochondrial ribosomal protein S11
215026_x_at,1.30E-07,3.33E-08,-5.983971,7.911505,-0.42221,SCNN1A,sodium channel epithelial 1 alpha subunit
239544_at,1.30E-07,3.33E-08,5.983948,7.911401,0.6828858,,
222264_at,1.30E-07,3.34E-08,-5.983777,7.910643,-0.3724772,HNRNPUL2,heterogeneous nuclear ribonucleoprotein U like 2
1554575_a_at,1.30E-07,3.34E-08,-5.983732,7.910445,-0.6280449,BPNT1,"3'(2'), 5'-bisphosphate nucleotidase 1"
239835_at,1.30E-07,3.34E-08,5.983253,7.908312,0.8209931,KBTBD8,kelch repeat and BTB domain containing 8
229860_x_at,1.30E-07,3.35E-08,-5.983181,7.907994,-1.0453985,C4orf48,chromosome 4 open reading frame 48
212386_at,1.31E-07,3.35E-08,5.982611,7.90546,0.8073969,TCF4,transcription factor 4
205316_at,1.31E-07,3.37E-08,5.981865,7.902148,1.4757447,SLC15A2,solute carrier family 15 member 2
204039_at,1.31E-07,3.37E-08,5.981795,7.901835,1.2373196,CEBPA,CCAAT/enhancer binding protein alpha
236630_at,1.32E-07,3.39E-08,-5.980117,7.894379,-0.3118331,AQP2,aquaporin 2
205784_x_at,1.32E-07,3.39E-08,-5.980108,7.894341,-0.3519884,ARVCF,armadillo repeat gene deleted in velocardiofacial syndrome
211215_x_at,1.32E-07,3.40E-08,-5.979833,7.893117,-0.5569997,DIO2,"deiodinase, iodothyronine, type II"
213817_at,1.32E-07,3.40E-08,5.97954,7.891815,1.5679685,IRAK3,interleukin 1 receptor associated kinase 3
223741_s_at,1.33E-07,3.41E-08,5.979214,7.890368,0.650564,TTYH2,tweety family member 2
224859_at,1.33E-07,3.42E-08,-5.978143,7.885611,-0.5274426,CD276,CD276 molecule
238929_at,1.34E-07,3.44E-08,5.976689,7.879153,0.668239,SRSF8,serine and arginine rich splicing factor 8
1553148_a_at,1.34E-07,3.45E-08,5.97608,7.876447,0.82412,SNX13,sorting nexin 13
226936_at,1.35E-07,3.46E-08,-5.975845,7.875401,-1.5249024,CENPW,centromere protein W
224036_s_at,1.35E-07,3.48E-08,-5.974708,7.870352,-0.677051,LMBR1,limb development membrane protein 1
223218_s_at,1.35E-07,3.48E-08,5.974608,7.869908,1.3429715,NFKBIZ,NFKB inhibitor zeta
229692_at,1.35E-07,3.48E-08,5.974503,7.869442,1.0781353,,
238677_at,1.36E-07,3.49E-08,-5.97394,7.866943,-0.534532,WDR36,WD repeat domain 36
208018_s_at,1.36E-07,3.49E-08,5.973515,7.865053,1.0838302,HCK,"HCK proto-oncogene, Src family tyrosine kinase"
219357_at,1.36E-07,3.50E-08,5.97343,7.864679,0.471709,GTPBP1,GTP binding protein 1
203594_at,1.36E-07,3.50E-08,-5.973138,7.863382,-0.7149887,RTCA,RNA 3'-terminal phosphate cyclase
1557176_a_at,1.36E-07,3.51E-08,-5.972743,7.861626,-0.5014633,C14orf37,chromosome 14 open reading frame 37
231723_at,1.36E-07,3.51E-08,-5.97257,7.860858,-0.3792898,SNX12,sorting nexin 12
241765_at,1.36E-07,3.51E-08,5.972502,7.860555,1.7494934,CPM,carboxypeptidase M
223812_at,1.37E-07,3.52E-08,-5.971745,7.857198,-0.353244,FAM178B,family with sequence similarity 178 member B
243568_at,1.37E-07,3.53E-08,5.971408,7.855702,0.3685279,,
241991_at,1.37E-07,3.53E-08,5.971176,7.854669,0.9331221,,
229121_at,1.38E-07,3.54E-08,5.970523,7.85177,0.9296031,CMKLR1,chemerin chemokine-like receptor 1
202840_at,1.38E-07,3.54E-08,-5.970413,7.851283,-0.6796025,TAF15,TATA-box binding protein associated factor 15
225876_at,1.38E-07,3.56E-08,5.969668,7.847975,0.6439275,NIPAL3,NIPA like domain containing 3
200036_s_at,1.38E-07,3.56E-08,-5.969459,7.847047,-0.3560064,RPL10A,ribosomal protein L10a
204672_s_at,1.39E-07,3.59E-08,5.967419,7.837993,1.0907518,ANKRD6,ankyrin repeat domain 6
207749_s_at,1.40E-07,3.60E-08,-5.967006,7.836159,-0.7069799,PPP2R3A,protein phosphatase 2 regulatory subunit B''alpha
220633_s_at,1.40E-07,3.61E-08,-5.966539,7.834088,-0.4240313,HP1BP3,heterochromatin protein 1 binding protein 3
200979_at,1.40E-07,3.61E-08,5.966064,7.83198,0.6101485,PDHA1,pyruvate dehydrogenase (lipoamide) alpha 1
202298_at,1.41E-07,3.63E-08,-5.965251,7.828372,-0.3635006,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1
1565886_at,1.42E-07,3.65E-08,5.963987,7.822762,0.8548991,,
229360_at,1.42E-07,3.65E-08,-5.963855,7.822175,-1.1045231,ZNF280B,zinc finger protein 280B
45633_at,1.42E-07,3.65E-08,-5.963627,7.821163,-1.0303924,GINS3,GINS complex subunit 3
201376_s_at,1.42E-07,3.67E-08,-5.962754,7.817292,-0.5109052,HNRNPF,heterogeneous nuclear ribonucleoprotein F
206715_at,1.42E-07,3.67E-08,5.962635,7.816762,1.359955,TFEC,transcription factor EC
205301_s_at,1.42E-07,3.67E-08,-5.962576,7.816502,-0.4869063,OGG1,8-oxoguanine DNA glycosylase
223295_s_at,1.43E-07,3.68E-08,5.962079,7.814297,0.6129581,LUC7L,LUC7 like
243_g_at,1.43E-07,3.69E-08,5.961767,7.812912,0.4688921,MAP4,microtubule associated protein 4
220630_s_at,1.43E-07,3.69E-08,5.961462,7.811559,1.754502,CHIA,"chitinase, acidic"
210275_s_at,1.43E-07,3.70E-08,5.960771,7.808493,0.49595,ZFAND5,zinc finger AN1-type containing 5
233585_at,1.44E-07,3.71E-08,-5.960601,7.807739,-0.2911155,SDK2,sidekick cell adhesion molecule 2
1552289_a_at,1.44E-07,3.71E-08,-5.960104,7.805535,-1.6341057,CILP2,cartilage intermediate layer protein 2
217778_at,1.44E-07,3.71E-08,-5.960073,7.805397,-0.4628841,SLC39A1,solute carrier family 39 member 1
214354_x_at,1.44E-07,3.72E-08,5.959753,7.80398,2.630428,SFTPB,surfactant protein B
228776_at,1.44E-07,3.72E-08,5.959477,7.802754,1.1669592,GJC1,gap junction protein gamma 1
205345_at,1.44E-07,3.73E-08,-5.95917,7.801391,-0.9970639,BARD1,BRCA1 associated RING domain 1
238593_at,1.44E-07,3.73E-08,-5.958943,7.800386,-1.1916961,C11orf80,chromosome 11 open reading frame 80
226996_at,1.45E-07,3.74E-08,-5.958589,7.798814,-0.6442983,LCLAT1,lysocardiolipin acyltransferase 1
228256_s_at,1.45E-07,3.75E-08,5.957918,7.795838,1.376915,EPB41L4A,erythrocyte membrane protein band 4.1 like 4A
228561_at,1.45E-07,3.75E-08,5.957683,7.794795,0.7308305,CDC37L1,cell division cycle 37 like 1
214258_x_at,1.45E-07,3.75E-08,5.957673,7.794752,0.4324253,KAT5,lysine acetyltransferase 5
224405_at,1.45E-07,3.76E-08,-5.957234,7.792806,-1.2850161,FCRL5,Fc receptor like 5
223020_at,1.46E-07,3.76E-08,-5.957168,7.792513,-0.4859963,CLPTM1L,CLPTM1 like
226294_x_at,1.46E-07,3.77E-08,-5.95694,7.791502,-0.4630166,FAM91A1,family with sequence similarity 91 member A1
36920_at,1.46E-07,3.77E-08,5.956487,7.789494,0.6794398,MTM1,myotubularin 1
221544_s_at,1.46E-07,3.78E-08,-5.956204,7.78824,-0.3296305,MED16,mediator complex subunit 16
201725_at,1.46E-07,3.79E-08,-5.955586,7.7855,-0.6781598,CDC123,cell division cycle 123
241763_s_at,1.47E-07,3.79E-08,-5.9555,7.785119,-1.1871432,FBXO32,F-box protein 32
203616_at,1.47E-07,3.80E-08,-5.95485,7.782233,-0.6436257,POLB,DNA polymerase beta
1552596_at,1.47E-07,3.80E-08,-5.954763,7.781848,-0.2821661,GAS2L2,growth arrest specific 2 like 2
218976_at,1.47E-07,3.81E-08,-5.954445,7.780438,-2.6753992,DNAJC12,DnaJ heat shock protein family (Hsp40) member C12
213313_at,1.47E-07,3.81E-08,5.954436,7.780399,0.4698976,RABGAP1,RAB GTPase activating protein 1
201943_s_at,1.47E-07,3.81E-08,-5.95439,7.780193,-1.0924856,CPD,carboxypeptidase D
207809_s_at,1.47E-07,3.81E-08,5.954295,7.779773,0.4685105,ATP6AP1,ATPase H+ transporting accessory protein 1
219054_at,1.47E-07,3.81E-08,5.954185,7.779287,1.6443893,NPR3,natriuretic peptide receptor 3
1558693_s_at,1.48E-07,3.85E-08,-5.952317,7.771006,-0.8314135,GLMP,glycosylated lysosomal membrane protein
224809_x_at,1.49E-07,3.87E-08,5.950923,7.764824,0.3400346,TINF2,TERF1 interacting nuclear factor 2
240008_at,1.50E-07,3.88E-08,5.950487,7.762894,1.040704,,
210759_s_at,1.51E-07,3.91E-08,-5.948796,7.755397,-0.3805132,PSMA1,proteasome subunit alpha 1
211259_s_at,1.52E-07,3.93E-08,-5.947327,7.748887,-0.6658161,BMP7,bone morphogenetic protein 7
214661_s_at,1.52E-07,3.94E-08,-5.947125,7.747993,-0.4848676,NOP14,NOP14 nucleolar protein
222835_at,1.52E-07,3.94E-08,5.947015,7.747504,1.29933,THSD4,thrombospondin type 1 domain containing 4
205333_s_at,1.52E-07,3.95E-08,-5.946324,7.744445,-0.5877702,RCE1,Ras converting CAAX endopeptidase 1
40562_at,1.53E-07,3.97E-08,5.945501,7.740795,0.409618,GNA11,G protein subunit alpha 11
239038_at,1.53E-07,3.97E-08,5.945276,7.739801,0.8453624,C1orf52,chromosome 1 open reading frame 52
218283_at,1.53E-07,3.98E-08,-5.944841,7.737871,-0.3886271,SS18L2,SS18 like 2
235387_at,1.53E-07,3.98E-08,-5.944729,7.737377,-0.6806896,GSTCD,glutathione S-transferase C-terminal domain containing
1557228_at,1.53E-07,3.98E-08,5.944608,7.736842,0.4670244,EHBP1L1,EH domain binding protein 1 like 1
1553976_a_at,1.54E-07,3.99E-08,-5.943973,7.734028,-0.7967917,DPCD,deleted in primary ciliary dyskinesia homolog (mouse)
44040_at,1.54E-07,4.00E-08,-5.943561,7.732204,-0.7758505,LOC101927826///FBXO41,uncharacterized LOC101927826///F-box protein 41
213098_at,1.56E-07,4.05E-08,-5.940762,7.719804,-0.5198507,CNOT9,CCR4-NOT transcription complex subunit 9
206152_at,1.58E-07,4.10E-08,-5.938177,7.708355,-0.4519655,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
219156_at,1.58E-07,4.10E-08,5.938143,7.708206,0.6530578,SYNJ2BP-COX16///SYNJ2BP,SYNJ2BP-COX16 readthrough///synaptojanin 2 binding protein
214007_s_at,1.58E-07,4.11E-08,-5.937544,7.705555,-1.0417387,TWF1,twinfilin actin binding protein 1
233961_at,1.60E-07,4.15E-08,-5.935522,7.696602,-0.3024644,,
230529_at,1.60E-07,4.16E-08,5.93524,7.695353,0.4942556,HECA,"hdc homolog, cell cycle regulator"
204405_x_at,1.60E-07,4.16E-08,-5.935163,7.695013,-0.3413804,DIMT1,DIM1 dimethyladenosine transferase 1 homolog
221565_s_at,1.60E-07,4.16E-08,5.93508,7.694646,0.6432435,CALHM2,calcium homeostasis modulator 2
231472_at,1.60E-07,4.16E-08,5.934937,7.694014,1.0024944,FBXO15,F-box protein 15
223308_s_at,1.60E-07,4.17E-08,-5.934369,7.691498,-0.660325,WDR5,WD repeat domain 5
214472_at,1.62E-07,4.21E-08,-5.932149,7.681672,-1.0764011,HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A///HIST1H2AD,"histone cluster 1, H3f///histone cluster 1, H3b///histone cluster 1, H3h///histone cluster 1, H3j///histone cluster 1, H3g///histone cluster 1, H3i///histone cluster 1, H3e///histone cluster 1, H3c///histone cluster 1, H3d///histone cluster 1, H3a///histone cluster 1, H2ad"
241788_x_at,1.63E-07,4.24E-08,5.930861,7.675974,0.5677903,,
239078_at,1.63E-07,4.24E-08,-5.93064,7.674995,-0.749413,BROX,BRO1 domain and CAAX motif containing
204992_s_at,1.63E-07,4.25E-08,-5.930088,7.67255,-1.3750552,PFN2,profilin 2
221058_s_at,1.64E-07,4.26E-08,-5.929686,7.670772,-0.6745167,CKLF,chemokine like factor
237163_x_at,1.65E-07,4.28E-08,-5.928462,7.665356,-0.2381069,LOC390705,"protein phosphatase 2 regulatory subunit B'', beta pseudogene"
237690_at,1.65E-07,4.29E-08,-5.928318,7.66472,-1.6675532,ADGRF4,adhesion G protein-coupled receptor F4
1554819_a_at,1.65E-07,4.29E-08,-5.928256,7.664445,-0.3916869,ITGA11,integrin subunit alpha 11
209317_at,1.65E-07,4.31E-08,-5.927262,7.660046,-0.7255927,POLR1C,RNA polymerase I subunit C
201708_s_at,1.66E-07,4.32E-08,-5.926854,7.658241,-0.8618243,NIPSNAP1,nipsnap homolog 1 (C. elegans)
205163_at,1.66E-07,4.32E-08,-5.926482,7.656598,-0.3177247,MYLPF,"myosin light chain, phosphorylatable, fast skeletal muscle"
1556056_at,1.66E-07,4.32E-08,5.926436,7.656391,0.3914293,SIK2,salt inducible kinase 2
231896_s_at,1.66E-07,4.33E-08,-5.926209,7.655388,-0.5812217,DENR,density regulated re-initiation and release factor
223108_s_at,1.66E-07,4.34E-08,-5.925737,7.653304,-0.4342843,ZCCHC17,zinc finger CCHC-type containing 17
228617_at,1.67E-07,4.34E-08,5.925447,7.65202,0.9074846,XAF1,XIAP associated factor 1
200638_s_at,1.67E-07,4.35E-08,-5.925295,7.651345,-0.7078726,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
225742_at,1.67E-07,4.35E-08,5.925005,7.650064,0.7142004,MDM4,"MDM4, p53 regulator"
